Started training, total epoch : 30
Training data size: 4907
Started epoch 1
Trained 1 batches 	Training Loss: 0.683808
Trained 51 batches 	Training Loss: 0.233203
Trained 101 batches 	Training Loss: 0.197336
Trained 151 batches 	Training Loss: 0.129443
Trained 201 batches 	Training Loss: 0.219727
Trained 251 batches 	Training Loss: 0.171745
Trained 301 batches 	Training Loss: 0.218825
Trained 351 batches 	Training Loss: 0.154574
Trained 401 batches 	Training Loss: 0.137704
Trained 451 batches 	Training Loss: 0.166531
Trained 501 batches 	Training Loss: 0.221214
Trained 551 batches 	Training Loss: 0.210286
Trained 601 batches 	Training Loss: 0.148170
Trained 651 batches 	Training Loss: 0.255045
Trained 701 batches 	Training Loss: 0.173791
Trained 751 batches 	Training Loss: 0.148783
Trained 801 batches 	Training Loss: 0.209376
Trained 851 batches 	Training Loss: 0.224012
Trained 901 batches 	Training Loss: 0.092560
Trained 951 batches 	Training Loss: 0.123361
Trained 1001 batches 	Training Loss: 0.143348
Trained 1051 batches 	Training Loss: 0.131663
Trained 1101 batches 	Training Loss: 0.124167
Trained 1151 batches 	Training Loss: 0.104950
Trained 1201 batches 	Training Loss: 0.135979
Trained 1251 batches 	Training Loss: 0.138983
Trained 1301 batches 	Training Loss: 0.165022
Trained 1351 batches 	Training Loss: 0.153379
Trained 1401 batches 	Training Loss: 0.173309
Trained 1451 batches 	Training Loss: 0.182499
Trained 1501 batches 	Training Loss: 0.227183
Trained 1551 batches 	Training Loss: 0.181419
Trained 1601 batches 	Training Loss: 0.146489
Trained 1651 batches 	Training Loss: 0.099014
Trained 1701 batches 	Training Loss: 0.156037
Trained 1751 batches 	Training Loss: 0.099227
Trained 1801 batches 	Training Loss: 0.126520
Trained 1851 batches 	Training Loss: 0.130766
Trained 1901 batches 	Training Loss: 0.235071
Trained 1951 batches 	Training Loss: 0.137555
Trained 2001 batches 	Training Loss: 0.147731
Trained 2051 batches 	Training Loss: 0.097774
Trained 2101 batches 	Training Loss: 0.163287
Trained 2151 batches 	Training Loss: 0.079656
Trained 2201 batches 	Training Loss: 0.234972
Trained 2251 batches 	Training Loss: 0.056786
Trained 2301 batches 	Training Loss: 0.161005
Trained 2351 batches 	Training Loss: 0.095996
Trained 2401 batches 	Training Loss: 0.085059
Trained 2451 batches 	Training Loss: 0.090144
Trained 2501 batches 	Training Loss: 0.136419
Trained 2551 batches 	Training Loss: 0.170122
Trained 2601 batches 	Training Loss: 0.212682
Trained 2651 batches 	Training Loss: 0.153132
Trained 2701 batches 	Training Loss: 0.106019
Trained 2751 batches 	Training Loss: 0.173001
Trained 2801 batches 	Training Loss: 0.213999
Trained 2851 batches 	Training Loss: 0.157161
Trained 2901 batches 	Training Loss: 0.173577
Trained 2951 batches 	Training Loss: 0.156615
Trained 3001 batches 	Training Loss: 0.172168
Trained 3051 batches 	Training Loss: 0.184935
Trained 3101 batches 	Training Loss: 0.143273
Trained 3151 batches 	Training Loss: 0.074847
Trained 3201 batches 	Training Loss: 0.116783
Trained 3251 batches 	Training Loss: 0.132034
Trained 3301 batches 	Training Loss: 0.149354
Trained 3351 batches 	Training Loss: 0.199546
Trained 3401 batches 	Training Loss: 0.149816
Trained 3451 batches 	Training Loss: 0.158038
Trained 3501 batches 	Training Loss: 0.198608
Trained 3551 batches 	Training Loss: 0.133099
Trained 3601 batches 	Training Loss: 0.110664
Trained 3651 batches 	Training Loss: 0.127943
Trained 3701 batches 	Training Loss: 0.189394
Trained 3751 batches 	Training Loss: 0.159530
Trained 3801 batches 	Training Loss: 0.126318
Trained 3851 batches 	Training Loss: 0.174381
Trained 3901 batches 	Training Loss: 0.182378
Trained 3951 batches 	Training Loss: 0.132448
Trained 4001 batches 	Training Loss: 0.320566
Trained 4051 batches 	Training Loss: 0.157004
Trained 4101 batches 	Training Loss: 0.176781
Trained 4151 batches 	Training Loss: 0.187557
Trained 4201 batches 	Training Loss: 0.137996
Trained 4251 batches 	Training Loss: 0.256543
Trained 4301 batches 	Training Loss: 0.200778
Trained 4351 batches 	Training Loss: 0.132678
Trained 4401 batches 	Training Loss: 0.160506
Trained 4451 batches 	Training Loss: 0.104835
Trained 4501 batches 	Training Loss: 0.158636
Trained 4551 batches 	Training Loss: 0.151646
Trained 4601 batches 	Training Loss: 0.122021
Trained 4651 batches 	Training Loss: 0.183940
Trained 4701 batches 	Training Loss: 0.189934
Trained 4751 batches 	Training Loss: 0.159506
Trained 4801 batches 	Training Loss: 0.179306
Trained 4851 batches 	Training Loss: 0.159290
Trained 4901 batches 	Training Loss: 0.115047
Epoch: 1 	Training Loss: 0.158347
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The total val loss is 0.1541284
The average AUROC is 0.812
The AUROC of Atelectasis is 0.7893581913339751
The AUROC of Cardiomegaly is 0.9064846423948753
The AUROC of Effusion is 0.884717656892648
The AUROC of Infiltration is 0.7033211153835514
The AUROC of Mass is 0.8126041175598154
The AUROC of Nodule is 0.7513448437489967
The AUROC of Pneumonia is 0.728990763757929
The AUROC of Pneumothorax is 0.8705943722352131
The AUROC of Consolidation is 0.7607223718904046
The AUROC of Edema is 0.9094679037277361
The AUROC of Emphysema is 0.874991903096256
The AUROC of Fibrosis is 0.7761560178345929
The AUROC of Pleural_Thickening is 0.7658175055128036
The AUROC of Hernia is 0.8265665369113644
Epoch: 1 	Learning Rate for first group: 0.0001000000
Started epoch 2
Trained 1 batches 	Training Loss: 0.167787
Trained 51 batches 	Training Loss: 0.117552
Trained 101 batches 	Training Loss: 0.179967
Trained 151 batches 	Training Loss: 0.097518
Trained 201 batches 	Training Loss: 0.200592
Trained 251 batches 	Training Loss: 0.107075
Trained 301 batches 	Training Loss: 0.112157
Trained 351 batches 	Training Loss: 0.086067
Trained 401 batches 	Training Loss: 0.100472
Trained 451 batches 	Training Loss: 0.136284
Trained 501 batches 	Training Loss: 0.166508
Trained 551 batches 	Training Loss: 0.083851
Trained 601 batches 	Training Loss: 0.145061
Trained 651 batches 	Training Loss: 0.192579
Trained 701 batches 	Training Loss: 0.097048
Trained 751 batches 	Training Loss: 0.146817
Trained 801 batches 	Training Loss: 0.154246
Trained 851 batches 	Training Loss: 0.138111
Trained 901 batches 	Training Loss: 0.203684
Trained 951 batches 	Training Loss: 0.162062
Trained 1001 batches 	Training Loss: 0.187875
Trained 1051 batches 	Training Loss: 0.135994
Trained 1101 batches 	Training Loss: 0.148920
Trained 1151 batches 	Training Loss: 0.124196
Trained 1201 batches 	Training Loss: 0.178174
Trained 1251 batches 	Training Loss: 0.127416
Trained 1301 batches 	Training Loss: 0.170621
Trained 1351 batches 	Training Loss: 0.191977
Trained 1401 batches 	Training Loss: 0.188242
Trained 1451 batches 	Training Loss: 0.184591
Trained 1501 batches 	Training Loss: 0.157370
Trained 1551 batches 	Training Loss: 0.066593
Trained 1601 batches 	Training Loss: 0.134319
Trained 1651 batches 	Training Loss: 0.196239
Trained 1701 batches 	Training Loss: 0.140452
Trained 1751 batches 	Training Loss: 0.079187
Trained 1801 batches 	Training Loss: 0.152820
Trained 1851 batches 	Training Loss: 0.111134
Trained 1901 batches 	Training Loss: 0.150510
Trained 1951 batches 	Training Loss: 0.119714
Trained 2001 batches 	Training Loss: 0.179908
Trained 2051 batches 	Training Loss: 0.121802
Trained 2101 batches 	Training Loss: 0.136186
Trained 2151 batches 	Training Loss: 0.140114
Trained 2201 batches 	Training Loss: 0.165727
Trained 2251 batches 	Training Loss: 0.218849
Trained 2301 batches 	Training Loss: 0.231855
Trained 2351 batches 	Training Loss: 0.192894
Trained 2401 batches 	Training Loss: 0.092698
Trained 2451 batches 	Training Loss: 0.139355
Trained 2501 batches 	Training Loss: 0.123916
Trained 2551 batches 	Training Loss: 0.122562
Trained 2601 batches 	Training Loss: 0.173380
Trained 2651 batches 	Training Loss: 0.148361
Trained 2701 batches 	Training Loss: 0.122711
Trained 2751 batches 	Training Loss: 0.150811
Trained 2801 batches 	Training Loss: 0.214726
Trained 2851 batches 	Training Loss: 0.185590
Trained 2901 batches 	Training Loss: 0.118321
Trained 2951 batches 	Training Loss: 0.176635
Trained 3001 batches 	Training Loss: 0.130380
Trained 3051 batches 	Training Loss: 0.152538
Trained 3101 batches 	Training Loss: 0.175065
Trained 3151 batches 	Training Loss: 0.089184
Trained 3201 batches 	Training Loss: 0.116154
Trained 3251 batches 	Training Loss: 0.147884
Trained 3301 batches 	Training Loss: 0.165076
Trained 3351 batches 	Training Loss: 0.102116
Trained 3401 batches 	Training Loss: 0.104928
Trained 3451 batches 	Training Loss: 0.189779
Trained 3501 batches 	Training Loss: 0.104659
Trained 3551 batches 	Training Loss: 0.131413
Trained 3601 batches 	Training Loss: 0.127667
Trained 3651 batches 	Training Loss: 0.154423
Trained 3701 batches 	Training Loss: 0.196236
Trained 3751 batches 	Training Loss: 0.119721
Trained 3801 batches 	Training Loss: 0.116921
Trained 3851 batches 	Training Loss: 0.161179
Trained 3901 batches 	Training Loss: 0.164118
Trained 3951 batches 	Training Loss: 0.110805
Trained 4001 batches 	Training Loss: 0.150245
Trained 4051 batches 	Training Loss: 0.090227
Trained 4101 batches 	Training Loss: 0.196640
Trained 4151 batches 	Training Loss: 0.173441
Trained 4201 batches 	Training Loss: 0.125022
Trained 4251 batches 	Training Loss: 0.139786
Trained 4301 batches 	Training Loss: 0.144187
Trained 4351 batches 	Training Loss: 0.112958
Trained 4401 batches 	Training Loss: 0.150580
Trained 4451 batches 	Training Loss: 0.150439
Trained 4501 batches 	Training Loss: 0.130585
Trained 4551 batches 	Training Loss: 0.119217
Trained 4601 batches 	Training Loss: 0.166139
Trained 4651 batches 	Training Loss: 0.106176
Trained 4701 batches 	Training Loss: 0.092712
Trained 4751 batches 	Training Loss: 0.118585
Trained 4801 batches 	Training Loss: 0.124271
Trained 4851 batches 	Training Loss: 0.147699
Trained 4901 batches 	Training Loss: 0.131540
Epoch: 2 	Training Loss: 0.146020
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The total val loss is 0.1543077
The average AUROC is 0.813
The AUROC of Atelectasis is 0.8030010017281993
The AUROC of Cardiomegaly is 0.8953524247712533
The AUROC of Effusion is 0.8862370674623165
The AUROC of Infiltration is 0.6981092976292567
The AUROC of Mass is 0.8082911842056475
The AUROC of Nodule is 0.7472611217768304
The AUROC of Pneumonia is 0.7380195534982952
The AUROC of Pneumothorax is 0.8791351594845476
The AUROC of Consolidation is 0.7515884331970397
The AUROC of Edema is 0.9123659206780109
The AUROC of Emphysema is 0.8531107568102321
The AUROC of Fibrosis is 0.795033017590614
The AUROC of Pleural_Thickening is 0.768004047829829
The AUROC of Hernia is 0.8436850505816023
Epoch: 2 	Learning Rate for first group: 0.0001000000
Started epoch 3
Trained 1 batches 	Training Loss: 0.130774
Trained 51 batches 	Training Loss: 0.125341
Trained 101 batches 	Training Loss: 0.103508
Trained 151 batches 	Training Loss: 0.142192
Trained 201 batches 	Training Loss: 0.148073
Trained 251 batches 	Training Loss: 0.121104
Trained 301 batches 	Training Loss: 0.097366
Trained 351 batches 	Training Loss: 0.189601
Trained 401 batches 	Training Loss: 0.088894
Trained 451 batches 	Training Loss: 0.157752
Trained 501 batches 	Training Loss: 0.158963
Trained 551 batches 	Training Loss: 0.108851
Trained 601 batches 	Training Loss: 0.132258
Trained 651 batches 	Training Loss: 0.120255
Trained 701 batches 	Training Loss: 0.207837
Trained 751 batches 	Training Loss: 0.193092
Trained 801 batches 	Training Loss: 0.209295
Trained 851 batches 	Training Loss: 0.090308
Trained 901 batches 	Training Loss: 0.115863
Trained 951 batches 	Training Loss: 0.184989
Trained 1001 batches 	Training Loss: 0.109870
Trained 1051 batches 	Training Loss: 0.142703
Trained 1101 batches 	Training Loss: 0.140544
Trained 1151 batches 	Training Loss: 0.096736
Trained 1201 batches 	Training Loss: 0.091601
Trained 1251 batches 	Training Loss: 0.098443
Trained 1301 batches 	Training Loss: 0.155369
Trained 1351 batches 	Training Loss: 0.189717
Trained 1401 batches 	Training Loss: 0.169391
Trained 1451 batches 	Training Loss: 0.101220
Trained 1501 batches 	Training Loss: 0.130956
Trained 1551 batches 	Training Loss: 0.146813
Trained 1601 batches 	Training Loss: 0.117178
Trained 1651 batches 	Training Loss: 0.128939
Trained 1701 batches 	Training Loss: 0.127079
Trained 1751 batches 	Training Loss: 0.124794
Trained 1801 batches 	Training Loss: 0.115458
Trained 1851 batches 	Training Loss: 0.175391
Trained 1901 batches 	Training Loss: 0.178375
Trained 1951 batches 	Training Loss: 0.172740
Trained 2001 batches 	Training Loss: 0.166061
Trained 2051 batches 	Training Loss: 0.166216
Trained 2101 batches 	Training Loss: 0.217182
Trained 2151 batches 	Training Loss: 0.181159
Trained 2201 batches 	Training Loss: 0.220901
Trained 2251 batches 	Training Loss: 0.145528
Trained 2301 batches 	Training Loss: 0.174130
Trained 2351 batches 	Training Loss: 0.124897
Trained 2401 batches 	Training Loss: 0.121715
Trained 2451 batches 	Training Loss: 0.115093
Trained 2501 batches 	Training Loss: 0.186824
Trained 2551 batches 	Training Loss: 0.214119
Trained 2601 batches 	Training Loss: 0.192407
Trained 2651 batches 	Training Loss: 0.080930
Trained 2701 batches 	Training Loss: 0.181274
Trained 2751 batches 	Training Loss: 0.083274
Trained 2801 batches 	Training Loss: 0.154602
Trained 2851 batches 	Training Loss: 0.177316
Trained 2901 batches 	Training Loss: 0.127184
Trained 2951 batches 	Training Loss: 0.145612
Trained 3001 batches 	Training Loss: 0.109188
Trained 3051 batches 	Training Loss: 0.110339
Trained 3101 batches 	Training Loss: 0.187049
Trained 3151 batches 	Training Loss: 0.138719
Trained 3201 batches 	Training Loss: 0.195798
Trained 3251 batches 	Training Loss: 0.141267
Trained 3301 batches 	Training Loss: 0.129644
Trained 3351 batches 	Training Loss: 0.240219
Trained 3401 batches 	Training Loss: 0.129573
Trained 3451 batches 	Training Loss: 0.125805
Trained 3501 batches 	Training Loss: 0.146822
Trained 3551 batches 	Training Loss: 0.125281
Trained 3601 batches 	Training Loss: 0.154290
Trained 3651 batches 	Training Loss: 0.183963
Trained 3701 batches 	Training Loss: 0.155140
Trained 3751 batches 	Training Loss: 0.131581
Trained 3801 batches 	Training Loss: 0.118194
Trained 3851 batches 	Training Loss: 0.259798
Trained 3901 batches 	Training Loss: 0.175516
Trained 3951 batches 	Training Loss: 0.188659
Trained 4001 batches 	Training Loss: 0.125961
Trained 4051 batches 	Training Loss: 0.123648
Trained 4101 batches 	Training Loss: 0.086852
Trained 4151 batches 	Training Loss: 0.107882
Trained 4201 batches 	Training Loss: 0.218387
Trained 4251 batches 	Training Loss: 0.114650
Trained 4301 batches 	Training Loss: 0.196839
Trained 4351 batches 	Training Loss: 0.072779
Trained 4401 batches 	Training Loss: 0.094527
Trained 4451 batches 	Training Loss: 0.102840
Trained 4501 batches 	Training Loss: 0.198235
Trained 4551 batches 	Training Loss: 0.170838
Trained 4601 batches 	Training Loss: 0.135948
Trained 4651 batches 	Training Loss: 0.156494
Trained 4701 batches 	Training Loss: 0.115639
Trained 4751 batches 	Training Loss: 0.109248
Trained 4801 batches 	Training Loss: 0.095242
Trained 4851 batches 	Training Loss: 0.162072
Trained 4901 batches 	Training Loss: 0.192889
Epoch: 3 	Training Loss: 0.140142
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The total val loss is 0.1510032
The average AUROC is 0.825
The AUROC of Atelectasis is 0.8001721199104348
The AUROC of Cardiomegaly is 0.9136421765022563
The AUROC of Effusion is 0.8908726130045926
The AUROC of Infiltration is 0.6977323577415696
The AUROC of Mass is 0.8358575082499509
The AUROC of Nodule is 0.7608902700816944
The AUROC of Pneumonia is 0.7610184867706727
The AUROC of Pneumothorax is 0.8813703188425602
The AUROC of Consolidation is 0.7653258626619284
The AUROC of Edema is 0.90825829305436
The AUROC of Emphysema is 0.8914897125157523
The AUROC of Fibrosis is 0.7877501119353965
The AUROC of Pleural_Thickening is 0.7717345853230458
The AUROC of Hernia is 0.8819111922560199
Epoch: 3 	Learning Rate for first group: 0.0001000000
Started epoch 4
Trained 1 batches 	Training Loss: 0.090082
Trained 51 batches 	Training Loss: 0.142548
Trained 101 batches 	Training Loss: 0.143065
Trained 151 batches 	Training Loss: 0.105075
Trained 201 batches 	Training Loss: 0.146442
Trained 251 batches 	Training Loss: 0.114317
Trained 301 batches 	Training Loss: 0.115907
Trained 351 batches 	Training Loss: 0.201319
Trained 401 batches 	Training Loss: 0.122211
Trained 451 batches 	Training Loss: 0.213829
Trained 501 batches 	Training Loss: 0.118607
Trained 551 batches 	Training Loss: 0.100688
Trained 601 batches 	Training Loss: 0.149900
Trained 651 batches 	Training Loss: 0.125168
Trained 701 batches 	Training Loss: 0.165103
Trained 751 batches 	Training Loss: 0.120928
Trained 801 batches 	Training Loss: 0.077528
Trained 851 batches 	Training Loss: 0.125203
Trained 901 batches 	Training Loss: 0.101837
Trained 951 batches 	Training Loss: 0.117785
Trained 1001 batches 	Training Loss: 0.169023
Trained 1051 batches 	Training Loss: 0.127108
Trained 1101 batches 	Training Loss: 0.130152
Trained 1151 batches 	Training Loss: 0.129614
Trained 1201 batches 	Training Loss: 0.114634
Trained 1251 batches 	Training Loss: 0.078161
Trained 1301 batches 	Training Loss: 0.128671
Trained 1351 batches 	Training Loss: 0.124226
Trained 1401 batches 	Training Loss: 0.234905
Trained 1451 batches 	Training Loss: 0.125459
Trained 1501 batches 	Training Loss: 0.160567
Trained 1551 batches 	Training Loss: 0.106241
Trained 1601 batches 	Training Loss: 0.204282
Trained 1651 batches 	Training Loss: 0.121693
Trained 1701 batches 	Training Loss: 0.067993
Trained 1751 batches 	Training Loss: 0.227618
Trained 1801 batches 	Training Loss: 0.129820
Trained 1851 batches 	Training Loss: 0.126710
Trained 1901 batches 	Training Loss: 0.134943
