Started training, total epoch : 20
Training data size: 4907
Started epoch 1
Trained 1 batches 	Training Loss: 0.683528
Trained 51 batches 	Training Loss: 0.188223
Trained 101 batches 	Training Loss: 0.219586
Trained 151 batches 	Training Loss: 0.131479
Trained 201 batches 	Training Loss: 0.249823
Trained 251 batches 	Training Loss: 0.213811
Trained 301 batches 	Training Loss: 0.239368
Trained 351 batches 	Training Loss: 0.157055
Trained 401 batches 	Training Loss: 0.144824
Trained 451 batches 	Training Loss: 0.165537
Trained 501 batches 	Training Loss: 0.250536
Trained 551 batches 	Training Loss: 0.237868
Trained 601 batches 	Training Loss: 0.158300
Trained 651 batches 	Training Loss: 0.306324
Trained 701 batches 	Training Loss: 0.182408
Trained 751 batches 	Training Loss: 0.151180
Trained 801 batches 	Training Loss: 0.234981
Trained 851 batches 	Training Loss: 0.284134
Trained 901 batches 	Training Loss: 0.107899
Trained 951 batches 	Training Loss: 0.153757
Trained 1001 batches 	Training Loss: 0.153405
Trained 1051 batches 	Training Loss: 0.136971
Trained 1101 batches 	Training Loss: 0.149119
Trained 1151 batches 	Training Loss: 0.122541
Trained 1201 batches 	Training Loss: 0.138644
Trained 1251 batches 	Training Loss: 0.159919
Trained 1301 batches 	Training Loss: 0.195188
Trained 1351 batches 	Training Loss: 0.168898
Trained 1401 batches 	Training Loss: 0.174499
Trained 1451 batches 	Training Loss: 0.184041
Trained 1501 batches 	Training Loss: 0.225435
Trained 1551 batches 	Training Loss: 0.185043
Trained 1601 batches 	Training Loss: 0.170120
Trained 1651 batches 	Training Loss: 0.113725
Trained 1701 batches 	Training Loss: 0.170351
Trained 1751 batches 	Training Loss: 0.103559
Trained 1801 batches 	Training Loss: 0.142700
Trained 1851 batches 	Training Loss: 0.145656
Trained 1901 batches 	Training Loss: 0.273118
Trained 1951 batches 	Training Loss: 0.148124
Trained 2001 batches 	Training Loss: 0.202665
Trained 2051 batches 	Training Loss: 0.111621
Trained 2101 batches 	Training Loss: 0.178108
Trained 2151 batches 	Training Loss: 0.096927
Trained 2201 batches 	Training Loss: 0.260708
Trained 2251 batches 	Training Loss: 0.071035
Trained 2301 batches 	Training Loss: 0.154612
Trained 2351 batches 	Training Loss: 0.127185
Trained 2401 batches 	Training Loss: 0.106828
Trained 2451 batches 	Training Loss: 0.102921
Trained 2501 batches 	Training Loss: 0.154184
Trained 2551 batches 	Training Loss: 0.175414
Trained 2601 batches 	Training Loss: 0.229843
Trained 2651 batches 	Training Loss: 0.173935
Trained 2701 batches 	Training Loss: 0.134938
Trained 2751 batches 	Training Loss: 0.177023
Trained 2801 batches 	Training Loss: 0.244316
Trained 2851 batches 	Training Loss: 0.161468
Trained 2901 batches 	Training Loss: 0.240794
Trained 2951 batches 	Training Loss: 0.160589
Trained 3001 batches 	Training Loss: 0.201094
Trained 3051 batches 	Training Loss: 0.212831
Trained 3101 batches 	Training Loss: 0.170682
Trained 3151 batches 	Training Loss: 0.098150
Trained 3201 batches 	Training Loss: 0.129583
Trained 3251 batches 	Training Loss: 0.149593
Trained 3301 batches 	Training Loss: 0.151636
Trained 3351 batches 	Training Loss: 0.209577
Trained 3401 batches 	Training Loss: 0.167231
Trained 3451 batches 	Training Loss: 0.157703
Trained 3501 batches 	Training Loss: 0.220227
Trained 3551 batches 	Training Loss: 0.141961
Trained 3601 batches 	Training Loss: 0.132024
Trained 3651 batches 	Training Loss: 0.124029
Trained 3701 batches 	Training Loss: 0.242740
Trained 3751 batches 	Training Loss: 0.191613
Trained 3801 batches 	Training Loss: 0.132977
Trained 3851 batches 	Training Loss: 0.193968
Trained 3901 batches 	Training Loss: 0.213060
Trained 3951 batches 	Training Loss: 0.151774
Trained 4001 batches 	Training Loss: 0.327662
Trained 4051 batches 	Training Loss: 0.204058
Trained 4101 batches 	Training Loss: 0.202082
Trained 4151 batches 	Training Loss: 0.230367
Trained 4201 batches 	Training Loss: 0.159053
Trained 4251 batches 	Training Loss: 0.284478
Trained 4301 batches 	Training Loss: 0.211751
Trained 4351 batches 	Training Loss: 0.140597
Trained 4401 batches 	Training Loss: 0.178086
Trained 4451 batches 	Training Loss: 0.131066
Trained 4501 batches 	Training Loss: 0.172167
Trained 4551 batches 	Training Loss: 0.163707
Trained 4601 batches 	Training Loss: 0.126897
Trained 4651 batches 	Training Loss: 0.174445
Trained 4701 batches 	Training Loss: 0.213364
Trained 4751 batches 	Training Loss: 0.180543
Trained 4801 batches 	Training Loss: 0.206493
Trained 4851 batches 	Training Loss: 0.177810
Trained 4901 batches 	Training Loss: 0.120508
Epoch: 1 	Training Loss: 0.171622
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The average AUROC is 0.735
The AUROC of Atelectasis is 0.744944496168569
The AUROC of Cardiomegaly is 0.8178109939516971
The AUROC of Effusion is 0.8445651327528337
The AUROC of Infiltration is 0.6685442197571163
The AUROC of Mass is 0.7144269693944032
The AUROC of Nodule is 0.6691618028846669
The AUROC of Pneumonia is 0.6718172586052537
The AUROC of Pneumothorax is 0.7828427576502981
The AUROC of Consolidation is 0.7290002802297885
The AUROC of Edema is 0.8342365755147984
The AUROC of Emphysema is 0.6836650119539742
The AUROC of Fibrosis is 0.6720006005635646
The AUROC of Pleural_Thickening is 0.7130283852377751
The AUROC of Hernia is 0.7386624869383489
Started epoch 2
Trained 1 batches 	Training Loss: 0.161174
Trained 51 batches 	Training Loss: 0.164535
Trained 101 batches 	Training Loss: 0.127194
Trained 151 batches 	Training Loss: 0.157627
Trained 201 batches 	Training Loss: 0.266799
Trained 251 batches 	Training Loss: 0.176936
Trained 301 batches 	Training Loss: 0.219477
Trained 351 batches 	Training Loss: 0.194235
Trained 401 batches 	Training Loss: 0.195127
Trained 451 batches 	Training Loss: 0.167681
Trained 501 batches 	Training Loss: 0.114305
Trained 551 batches 	Training Loss: 0.102912
Trained 601 batches 	Training Loss: 0.169766
Trained 651 batches 	Training Loss: 0.158134
Trained 701 batches 	Training Loss: 0.181191
Trained 751 batches 	Training Loss: 0.104868
Trained 801 batches 	Training Loss: 0.165387
Trained 851 batches 	Training Loss: 0.143852
Trained 901 batches 	Training Loss: 0.142893
Trained 951 batches 	Training Loss: 0.201721
Trained 1001 batches 	Training Loss: 0.186492
Trained 1051 batches 	Training Loss: 0.222753
Trained 1101 batches 	Training Loss: 0.245858
Trained 1151 batches 	Training Loss: 0.177274
Trained 1201 batches 	Training Loss: 0.140576
Trained 1251 batches 	Training Loss: 0.153566
Trained 1301 batches 	Training Loss: 0.234338
Trained 1351 batches 	Training Loss: 0.123759
Trained 1401 batches 	Training Loss: 0.113012
Trained 1451 batches 	Training Loss: 0.168739
Trained 1501 batches 	Training Loss: 0.141893
Trained 1551 batches 	Training Loss: 0.217917
Trained 1601 batches 	Training Loss: 0.148320
Trained 1651 batches 	Training Loss: 0.103414
Trained 1701 batches 	Training Loss: 0.190974
Trained 1751 batches 	Training Loss: 0.184775
Trained 1801 batches 	Training Loss: 0.180255
Trained 1851 batches 	Training Loss: 0.091928
Trained 1901 batches 	Training Loss: 0.165771
Trained 1951 batches 	Training Loss: 0.241167
Trained 2001 batches 	Training Loss: 0.092624
Trained 2051 batches 	Training Loss: 0.264215
Trained 2101 batches 	Training Loss: 0.126473
Trained 2151 batches 	Training Loss: 0.179884
Trained 2201 batches 	Training Loss: 0.261298
Trained 2251 batches 	Training Loss: 0.174543
Trained 2301 batches 	Training Loss: 0.195318
Trained 2351 batches 	Training Loss: 0.139147
Trained 2401 batches 	Training Loss: 0.112459
Trained 2451 batches 	Training Loss: 0.131649
Trained 2501 batches 	Training Loss: 0.085445
Trained 2551 batches 	Training Loss: 0.223833
Trained 2601 batches 	Training Loss: 0.089839
Trained 2651 batches 	Training Loss: 0.146473
Trained 2701 batches 	Training Loss: 0.211002
Trained 2751 batches 	Training Loss: 0.161243
Trained 2801 batches 	Training Loss: 0.176122
Trained 2851 batches 	Training Loss: 0.180665
Trained 2901 batches 	Training Loss: 0.196587
Trained 2951 batches 	Training Loss: 0.159986
Trained 3001 batches 	Training Loss: 0.187010
Trained 3051 batches 	Training Loss: 0.160108
Trained 3101 batches 	Training Loss: 0.122484
Trained 3151 batches 	Training Loss: 0.183326
Trained 3201 batches 	Training Loss: 0.195206
Trained 3251 batches 	Training Loss: 0.206530
Trained 3301 batches 	Training Loss: 0.145048
Trained 3351 batches 	Training Loss: 0.135217
Trained 3401 batches 	Training Loss: 0.143546
Trained 3451 batches 	Training Loss: 0.148014
Trained 3501 batches 	Training Loss: 0.176466
Trained 3551 batches 	Training Loss: 0.158131
Trained 3601 batches 	Training Loss: 0.085705
Trained 3651 batches 	Training Loss: 0.138493
Trained 3701 batches 	Training Loss: 0.186267
Trained 3751 batches 	Training Loss: 0.149243
Trained 3801 batches 	Training Loss: 0.155140
Trained 3851 batches 	Training Loss: 0.114684
Trained 3901 batches 	Training Loss: 0.197544
Trained 3951 batches 	Training Loss: 0.129686
Trained 4001 batches 	Training Loss: 0.168488
Trained 4051 batches 	Training Loss: 0.151236
Trained 4101 batches 	Training Loss: 0.192031
Trained 4151 batches 	Training Loss: 0.167766
Trained 4201 batches 	Training Loss: 0.137087
Trained 4251 batches 	Training Loss: 0.084701
Trained 4301 batches 	Training Loss: 0.139185
Trained 4351 batches 	Training Loss: 0.144838
Trained 4401 batches 	Training Loss: 0.199215
Trained 4451 batches 	Training Loss: 0.178567
Trained 4501 batches 	Training Loss: 0.186162
Trained 4551 batches 	Training Loss: 0.093142
Trained 4601 batches 	Training Loss: 0.134865
Trained 4651 batches 	Training Loss: 0.070262
Trained 4701 batches 	Training Loss: 0.144251
Trained 4751 batches 	Training Loss: 0.166278
Trained 4801 batches 	Training Loss: 0.201298
Trained 4851 batches 	Training Loss: 0.191413
Trained 4901 batches 	Training Loss: 0.131704
Epoch: 2 	Training Loss: 0.162595
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The average AUROC is 0.766
The AUROC of Atelectasis is 0.7517891923457283
The AUROC of Cardiomegaly is 0.8677044124270842
The AUROC of Effusion is 0.8512822471570097
The AUROC of Infiltration is 0.6817872693573819
The AUROC of Mass is 0.7466417534919938
The AUROC of Nodule is 0.6829177983387161
The AUROC of Pneumonia is 0.7153611158732879
The AUROC of Pneumothorax is 0.8168722541933656
The AUROC of Consolidation is 0.7444455589947393
The AUROC of Edema is 0.881843011322254
The AUROC of Emphysema is 0.7438272150184314
The AUROC of Fibrosis is 0.7183952083607028
The AUROC of Pleural_Thickening is 0.7417505802347867
The AUROC of Hernia is 0.7767060525681214
Started epoch 3
Trained 1 batches 	Training Loss: 0.174256
Trained 51 batches 	Training Loss: 0.180229
Trained 101 batches 	Training Loss: 0.225167
Trained 151 batches 	Training Loss: 0.307235
Trained 201 batches 	Training Loss: 0.147134
Trained 251 batches 	Training Loss: 0.138864
Trained 301 batches 	Training Loss: 0.120308
Trained 351 batches 	Training Loss: 0.249790
Trained 401 batches 	Training Loss: 0.208054
Trained 451 batches 	Training Loss: 0.177051
Trained 501 batches 	Training Loss: 0.114424
Trained 551 batches 	Training Loss: 0.157626
Trained 601 batches 	Training Loss: 0.179703
Trained 651 batches 	Training Loss: 0.143587
Trained 701 batches 	Training Loss: 0.228433
Trained 751 batches 	Training Loss: 0.147718
Trained 801 batches 	Training Loss: 0.109436
Trained 851 batches 	Training Loss: 0.112863
Trained 901 batches 	Training Loss: 0.141329
Trained 951 batches 	Training Loss: 0.087436
Trained 1001 batches 	Training Loss: 0.148884
Trained 1051 batches 	Training Loss: 0.101565
Trained 1101 batches 	Training Loss: 0.185847
Trained 1151 batches 	Training Loss: 0.169554
Trained 1201 batches 	Training Loss: 0.149964
Trained 1251 batches 	Training Loss: 0.157345
Trained 1301 batches 	Training Loss: 0.120652
Trained 1351 batches 	Training Loss: 0.089739
Trained 1401 batches 	Training Loss: 0.109607
Trained 1451 batches 	Training Loss: 0.198704
Trained 1501 batches 	Training Loss: 0.155685
Trained 1551 batches 	Training Loss: 0.107146
Trained 1601 batches 	Training Loss: 0.201889
Trained 1651 batches 	Training Loss: 0.161867
Trained 1701 batches 	Training Loss: 0.195816
Trained 1751 batches 	Training Loss: 0.102706
Trained 1801 batches 	Training Loss: 0.187189
Trained 1851 batches 	Training Loss: 0.139285
Trained 1901 batches 	Training Loss: 0.092485
Trained 1951 batches 	Training Loss: 0.192265
Trained 2001 batches 	Training Loss: 0.180376
Trained 2051 batches 	Training Loss: 0.162576
Trained 2101 batches 	Training Loss: 0.172122
Trained 2151 batches 	Training Loss: 0.167911
Trained 2201 batches 	Training Loss: 0.170002
Trained 2251 batches 	Training Loss: 0.189083
Trained 2301 batches 	Training Loss: 0.088226
Trained 2351 batches 	Training Loss: 0.174294
Trained 2401 batches 	Training Loss: 0.158734
Trained 2451 batches 	Training Loss: 0.224385
Trained 2501 batches 	Training Loss: 0.154736
Trained 2551 batches 	Training Loss: 0.114212
Trained 2601 batches 	Training Loss: 0.163346
Trained 2651 batches 	Training Loss: 0.137057
Trained 2701 batches 	Training Loss: 0.163005
Trained 2751 batches 	Training Loss: 0.180677
Trained 2801 batches 	Training Loss: 0.194070
Trained 2851 batches 	Training Loss: 0.107910
Trained 2901 batches 	Training Loss: 0.195375
Trained 2951 batches 	Training Loss: 0.208954
Trained 3001 batches 	Training Loss: 0.170634
Trained 3051 batches 	Training Loss: 0.102209
Trained 3101 batches 	Training Loss: 0.169335
Trained 3151 batches 	Training Loss: 0.137059
Trained 3201 batches 	Training Loss: 0.137240
Trained 3251 batches 	Training Loss: 0.223748
Trained 3301 batches 	Training Loss: 0.141550
Trained 3351 batches 	Training Loss: 0.115995
Trained 3401 batches 	Training Loss: 0.224122
Trained 3451 batches 	Training Loss: 0.162657
Trained 3501 batches 	Training Loss: 0.156207
Trained 3551 batches 	Training Loss: 0.179780
Trained 3601 batches 	Training Loss: 0.147078
Trained 3651 batches 	Training Loss: 0.176853
Trained 3701 batches 	Training Loss: 0.137609
Trained 3751 batches 	Training Loss: 0.163828
Trained 3801 batches 	Training Loss: 0.217350
Trained 3851 batches 	Training Loss: 0.194024
Trained 3901 batches 	Training Loss: 0.140927
Trained 3951 batches 	Training Loss: 0.095077
Trained 4001 batches 	Training Loss: 0.111317
Trained 4051 batches 	Training Loss: 0.149438
Trained 4101 batches 	Training Loss: 0.173076
Trained 4151 batches 	Training Loss: 0.159033
Trained 4201 batches 	Training Loss: 0.199534
Trained 4251 batches 	Training Loss: 0.171730
Trained 4301 batches 	Training Loss: 0.186003
Trained 4351 batches 	Training Loss: 0.172731
Trained 4401 batches 	Training Loss: 0.142810
Trained 4451 batches 	Training Loss: 0.149970
Trained 4501 batches 	Training Loss: 0.139732
Trained 4551 batches 	Training Loss: 0.193296
Trained 4601 batches 	Training Loss: 0.149913
Trained 4651 batches 	Training Loss: 0.145257
Trained 4701 batches 	Training Loss: 0.148445
Trained 4751 batches 	Training Loss: 0.225177
Trained 4801 batches 	Training Loss: 0.156780
Trained 4851 batches 	Training Loss: 0.172255
Trained 4901 batches 	Training Loss: 0.155094
Epoch: 3 	Training Loss: 0.158394
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 0.0 min
The average AUROC is 0.776
The AUROC of Atelectasis is 0.7651590791221815
The AUROC of Cardiomegaly is 0.8799440137541711
The AUROC of Effusion is 0.8669007855011651
The AUROC of Infiltration is 0.6818366206534067
The AUROC of Mass is 0.7716566179703267
The AUROC of Nodule is 0.674067462992808
The AUROC of Pneumonia is 0.7208423814694174
The AUROC of Pneumothorax is 0.8151126286859607
The AUROC of Consolidation is 0.7471634694995349
The AUROC of Edema is 0.8753687181354698
The AUROC of Emphysema is 0.7904870950075964
The AUROC of Fibrosis is 0.7438333650595336
The AUROC of Pleural_Thickening is 0.7376113026527328
The AUROC of Hernia is 0.7970741901776385
Started epoch 4
Trained 1 batches 	Training Loss: 0.122233
Trained 51 batches 	Training Loss: 0.184839
Trained 101 batches 	Training Loss: 0.168789
Trained 151 batches 	Training Loss: 0.108400
Trained 201 batches 	Training Loss: 0.139855
Trained 251 batches 	Training Loss: 0.177190
Trained 301 batches 	Training Loss: 0.137407
Trained 351 batches 	Training Loss: 0.109727
Trained 401 batches 	Training Loss: 0.142462
Trained 451 batches 	Training Loss: 0.336340
Trained 501 batches 	Training Loss: 0.169614
Trained 551 batches 	Training Loss: 0.132257
Trained 601 batches 	Training Loss: 0.155260
Trained 651 batches 	Training Loss: 0.130857
Trained 701 batches 	Training Loss: 0.172411
Trained 751 batches 	Training Loss: 0.165762
Trained 801 batches 	Training Loss: 0.113226
Trained 851 batches 	Training Loss: 0.088958
Trained 901 batches 	Training Loss: 0.171718
Trained 951 batches 	Training Loss: 0.219126
Trained 1001 batches 	Training Loss: 0.174865
Trained 1051 batches 	Training Loss: 0.198667
Trained 1101 batches 	Training Loss: 0.186632
Trained 1151 batches 	Training Loss: 0.148735
Trained 1201 batches 	Training Loss: 0.129508
Trained 1251 batches 	Training Loss: 0.127514
Trained 1301 batches 	Training Loss: 0.193896
Trained 1351 batches 	Training Loss: 0.089248
Trained 1401 batches 	Training Loss: 0.112828
Trained 1451 batches 	Training Loss: 0.106912
Trained 1501 batches 	Training Loss: 0.116132
Trained 1551 batches 	Training Loss: 0.122348
Trained 1601 batches 	Training Loss: 0.134833
Trained 1651 batches 	Training Loss: 0.125121
Trained 1701 batches 	Training Loss: 0.129940
Trained 1751 batches 	Training Loss: 0.166345
Trained 1801 batches 	Training Loss: 0.119553
Trained 1851 batches 	Training Loss: 0.160633
Trained 1901 batches 	Training Loss: 0.102897
Trained 1951 batches 	Training Loss: 0.158888
Trained 2001 batches 	Training Loss: 0.109261
Trained 2051 batches 	Training Loss: 0.210029
Trained 2101 batches 	Training Loss: 0.105644
Trained 2151 batches 	Training Loss: 0.181356
