Started training, total epoch : 10
Training data size: 4907
Started epoch 1
Trained 1 batches 	Training Loss: 0.682972
Trained 51 batches 	Training Loss: 0.184368
Trained 101 batches 	Training Loss: 0.225406
Trained 151 batches 	Training Loss: 0.133577
Trained 201 batches 	Training Loss: 0.252442
Trained 251 batches 	Training Loss: 0.213191
Trained 301 batches 	Training Loss: 0.255858
Trained 351 batches 	Training Loss: 0.158115
Trained 401 batches 	Training Loss: 0.147369
Trained 451 batches 	Training Loss: 0.164325
Trained 501 batches 	Training Loss: 0.260867
Trained 551 batches 	Training Loss: 0.228760
Trained 601 batches 	Training Loss: 0.152144
Trained 651 batches 	Training Loss: 0.295405
Trained 701 batches 	Training Loss: 0.183271
Trained 751 batches 	Training Loss: 0.144339
Trained 801 batches 	Training Loss: 0.245320
Trained 851 batches 	Training Loss: 0.260825
Trained 901 batches 	Training Loss: 0.109461
Trained 951 batches 	Training Loss: 0.150297
Trained 1001 batches 	Training Loss: 0.165577
Trained 1051 batches 	Training Loss: 0.132872
Trained 1101 batches 	Training Loss: 0.152148
Trained 1151 batches 	Training Loss: 0.127554
Trained 1201 batches 	Training Loss: 0.155089
Trained 1251 batches 	Training Loss: 0.164343
Trained 1301 batches 	Training Loss: 0.188945
Trained 1351 batches 	Training Loss: 0.168822
Trained 1401 batches 	Training Loss: 0.163560
Trained 1451 batches 	Training Loss: 0.180850
Trained 1501 batches 	Training Loss: 0.244695
Trained 1551 batches 	Training Loss: 0.181132
Trained 1601 batches 	Training Loss: 0.171830
Trained 1651 batches 	Training Loss: 0.119573
Trained 1701 batches 	Training Loss: 0.169684
Trained 1751 batches 	Training Loss: 0.115002
Trained 1801 batches 	Training Loss: 0.139323
Trained 1851 batches 	Training Loss: 0.145238
Trained 1901 batches 	Training Loss: 0.262821
Trained 1951 batches 	Training Loss: 0.148668
Trained 2001 batches 	Training Loss: 0.190180
Trained 2051 batches 	Training Loss: 0.111221
Trained 2101 batches 	Training Loss: 0.171901
Trained 2151 batches 	Training Loss: 0.099298
Trained 2201 batches 	Training Loss: 0.260175
Trained 2251 batches 	Training Loss: 0.066995
Trained 2301 batches 	Training Loss: 0.151237
Trained 2351 batches 	Training Loss: 0.125863
Trained 2401 batches 	Training Loss: 0.107738
Trained 2451 batches 	Training Loss: 0.102626
Trained 2501 batches 	Training Loss: 0.159523
Trained 2551 batches 	Training Loss: 0.183567
Trained 2601 batches 	Training Loss: 0.215807
Trained 2651 batches 	Training Loss: 0.170273
Trained 2701 batches 	Training Loss: 0.135511
Trained 2751 batches 	Training Loss: 0.178725
Trained 2801 batches 	Training Loss: 0.235579
Trained 2851 batches 	Training Loss: 0.159643
Trained 2901 batches 	Training Loss: 0.243123
Trained 2951 batches 	Training Loss: 0.159876
Trained 3001 batches 	Training Loss: 0.197193
Trained 3051 batches 	Training Loss: 0.213843
Trained 3101 batches 	Training Loss: 0.174407
Trained 3151 batches 	Training Loss: 0.097410
Trained 3201 batches 	Training Loss: 0.118281
Trained 3251 batches 	Training Loss: 0.153899
Trained 3301 batches 	Training Loss: 0.148466
Trained 3351 batches 	Training Loss: 0.212065
Trained 3401 batches 	Training Loss: 0.175990
Trained 3451 batches 	Training Loss: 0.163240
Trained 3501 batches 	Training Loss: 0.210255
Trained 3551 batches 	Training Loss: 0.146139
Trained 3601 batches 	Training Loss: 0.133533
Trained 3651 batches 	Training Loss: 0.130636
Trained 3701 batches 	Training Loss: 0.247907
Trained 3751 batches 	Training Loss: 0.184045
Trained 3801 batches 	Training Loss: 0.124979
Trained 3851 batches 	Training Loss: 0.188601
Trained 3901 batches 	Training Loss: 0.205822
Trained 3951 batches 	Training Loss: 0.141013
Trained 4001 batches 	Training Loss: 0.302947
Trained 4051 batches 	Training Loss: 0.192027
Trained 4101 batches 	Training Loss: 0.199526
Trained 4151 batches 	Training Loss: 0.219142
Trained 4201 batches 	Training Loss: 0.169702
Trained 4251 batches 	Training Loss: 0.282429
Trained 4301 batches 	Training Loss: 0.197367
Trained 4351 batches 	Training Loss: 0.141863
Trained 4401 batches 	Training Loss: 0.172771
Trained 4451 batches 	Training Loss: 0.130605
Trained 4501 batches 	Training Loss: 0.185075
Trained 4551 batches 	Training Loss: 0.168871
Trained 4601 batches 	Training Loss: 0.132280
Trained 4651 batches 	Training Loss: 0.180354
Trained 4701 batches 	Training Loss: 0.218738
Trained 4751 batches 	Training Loss: 0.178281
Trained 4801 batches 	Training Loss: 0.192935
Trained 4851 batches 	Training Loss: 0.183283
Trained 4901 batches 	Training Loss: 0.116057
Epoch: 1 	Training Loss: 0.172417
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 1.0 min
The average AUROC is 0.716
The AUROC of Atelectasis is 0.7169056995318384
The AUROC of Cardiomegaly is 0.7608550022003568
The AUROC of Effusion is 0.8382404552474689
The AUROC of Infiltration is 0.6475275941243188
The AUROC of Mass is 0.7040282074167457
The AUROC of Nodule is 0.6428241112316802
The AUROC of Pneumonia is 0.6795370449739984
The AUROC of Pneumothorax is 0.7459635377124518
The AUROC of Consolidation is 0.6939458822143247
The AUROC of Edema is 0.8276021320267496
The AUROC of Emphysema is 0.6573208155201451
The AUROC of Fibrosis is 0.6757962159133258
The AUROC of Pleural_Thickening is 0.6695079411153683
The AUROC of Hernia is 0.7649775511844477
Started epoch 2
Trained 1 batches 	Training Loss: 0.129770
Trained 51 batches 	Training Loss: 0.105111
Trained 101 batches 	Training Loss: 0.151112
Trained 151 batches 	Training Loss: 0.090453
Trained 201 batches 	Training Loss: 0.091178
Trained 251 batches 	Training Loss: 0.226110
Trained 301 batches 	Training Loss: 0.155302
Trained 351 batches 	Training Loss: 0.117468
Trained 401 batches 	Training Loss: 0.162395
Trained 451 batches 	Training Loss: 0.151618
Trained 501 batches 	Training Loss: 0.186845
Trained 551 batches 	Training Loss: 0.105966
Trained 601 batches 	Training Loss: 0.153943
Trained 651 batches 	Training Loss: 0.243904
Trained 701 batches 	Training Loss: 0.141737
Trained 751 batches 	Training Loss: 0.109363
Trained 801 batches 	Training Loss: 0.088050
Trained 851 batches 	Training Loss: 0.178596
Trained 901 batches 	Training Loss: 0.184633
Trained 951 batches 	Training Loss: 0.275693
Trained 1001 batches 	Training Loss: 0.129898
Trained 1051 batches 	Training Loss: 0.096575
Trained 1101 batches 	Training Loss: 0.155883
Trained 1151 batches 	Training Loss: 0.208306
Trained 1201 batches 	Training Loss: 0.134174
Trained 1251 batches 	Training Loss: 0.222112
Trained 1301 batches 	Training Loss: 0.150204
Trained 1351 batches 	Training Loss: 0.116636
Trained 1401 batches 	Training Loss: 0.165230
Trained 1451 batches 	Training Loss: 0.149738
Trained 1501 batches 	Training Loss: 0.125528
Trained 1551 batches 	Training Loss: 0.146368
Trained 1601 batches 	Training Loss: 0.210785
Trained 1651 batches 	Training Loss: 0.236580
Trained 1701 batches 	Training Loss: 0.108440
Trained 1751 batches 	Training Loss: 0.136486
Trained 1801 batches 	Training Loss: 0.100169
Trained 1851 batches 	Training Loss: 0.129973
Trained 1901 batches 	Training Loss: 0.101630
Trained 1951 batches 	Training Loss: 0.162964
Trained 2001 batches 	Training Loss: 0.151110
Trained 2051 batches 	Training Loss: 0.131933
Trained 2101 batches 	Training Loss: 0.163074
Trained 2151 batches 	Training Loss: 0.168421
Trained 2201 batches 	Training Loss: 0.231020
Trained 2251 batches 	Training Loss: 0.128963
Trained 2301 batches 	Training Loss: 0.162922
Trained 2351 batches 	Training Loss: 0.121301
Trained 2401 batches 	Training Loss: 0.172173
Trained 2451 batches 	Training Loss: 0.153617
Trained 2501 batches 	Training Loss: 0.154879
Trained 2551 batches 	Training Loss: 0.169973
Trained 2601 batches 	Training Loss: 0.276507
Trained 2651 batches 	Training Loss: 0.212182
Trained 2701 batches 	Training Loss: 0.153399
Trained 2751 batches 	Training Loss: 0.138813
Trained 2801 batches 	Training Loss: 0.199994
Trained 2851 batches 	Training Loss: 0.218300
Trained 2901 batches 	Training Loss: 0.152297
Trained 2951 batches 	Training Loss: 0.170360
Trained 3001 batches 	Training Loss: 0.166630
Trained 3051 batches 	Training Loss: 0.155157
Trained 3101 batches 	Training Loss: 0.138491
Trained 3151 batches 	Training Loss: 0.161036
Trained 3201 batches 	Training Loss: 0.166756
Trained 3251 batches 	Training Loss: 0.133860
Trained 3301 batches 	Training Loss: 0.178101
Trained 3351 batches 	Training Loss: 0.142213
Trained 3401 batches 	Training Loss: 0.272976
Trained 3451 batches 	Training Loss: 0.125929
Trained 3501 batches 	Training Loss: 0.176432
Trained 3551 batches 	Training Loss: 0.203509
Trained 3601 batches 	Training Loss: 0.153398
Trained 3651 batches 	Training Loss: 0.151028
Trained 3701 batches 	Training Loss: 0.108777
Trained 3751 batches 	Training Loss: 0.084551
Trained 3801 batches 	Training Loss: 0.103789
Trained 3851 batches 	Training Loss: 0.121100
Trained 3901 batches 	Training Loss: 0.110901
Trained 3951 batches 	Training Loss: 0.160348
Trained 4001 batches 	Training Loss: 0.158907
Trained 4051 batches 	Training Loss: 0.126051
Trained 4101 batches 	Training Loss: 0.179850
Trained 4151 batches 	Training Loss: 0.144240
Trained 4201 batches 	Training Loss: 0.132051
Trained 4251 batches 	Training Loss: 0.156652
Trained 4301 batches 	Training Loss: 0.071561
Trained 4351 batches 	Training Loss: 0.202619
Trained 4401 batches 	Training Loss: 0.103052
Trained 4451 batches 	Training Loss: 0.085828
Trained 4501 batches 	Training Loss: 0.171243
Trained 4551 batches 	Training Loss: 0.125638
Trained 4601 batches 	Training Loss: 0.229028
Trained 4651 batches 	Training Loss: 0.157012
Trained 4701 batches 	Training Loss: 0.163633
Trained 4751 batches 	Training Loss: 0.141313
Trained 4801 batches 	Training Loss: 0.178423
Trained 4851 batches 	Training Loss: 0.135515
Trained 4901 batches 	Training Loss: 0.209688
Epoch: 2 	Training Loss: 0.163416
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 1.0 min
The average AUROC is 0.760
The AUROC of Atelectasis is 0.7576975392712283
The AUROC of Cardiomegaly is 0.8774657947020724
The AUROC of Effusion is 0.8495954032405384
The AUROC of Infiltration is 0.6745239425710254
The AUROC of Mass is 0.7470948055765961
The AUROC of Nodule is 0.6576274161064488
The AUROC of Pneumonia is 0.6997465331352267
The AUROC of Pneumothorax is 0.8071477332543755
The AUROC of Consolidation is 0.7393994325346784
The AUROC of Edema is 0.8740279249155797
The AUROC of Emphysema is 0.7475422216726142
The AUROC of Fibrosis is 0.7086317606968682
The AUROC of Pleural_Thickening is 0.7386809276904038
The AUROC of Hernia is 0.7575459023734886
Started epoch 3
Trained 1 batches 	Training Loss: 0.186693
Trained 51 batches 	Training Loss: 0.131249
Trained 101 batches 	Training Loss: 0.140715
Trained 151 batches 	Training Loss: 0.158369
Trained 201 batches 	Training Loss: 0.263004
Trained 251 batches 	Training Loss: 0.211206
Trained 301 batches 	Training Loss: 0.174219
Trained 351 batches 	Training Loss: 0.187757
Trained 401 batches 	Training Loss: 0.175180
Trained 451 batches 	Training Loss: 0.123164
Trained 501 batches 	Training Loss: 0.091356
Trained 551 batches 	Training Loss: 0.088804
Trained 601 batches 	Training Loss: 0.122457
Trained 651 batches 	Training Loss: 0.168414
Trained 701 batches 	Training Loss: 0.165080
Trained 751 batches 	Training Loss: 0.125032
Trained 801 batches 	Training Loss: 0.094883
Trained 851 batches 	Training Loss: 0.126743
Trained 901 batches 	Training Loss: 0.176078
Trained 951 batches 	Training Loss: 0.165517
Trained 1001 batches 	Training Loss: 0.184057
Trained 1051 batches 	Training Loss: 0.182861
Trained 1101 batches 	Training Loss: 0.142623
Trained 1151 batches 	Training Loss: 0.205414
Trained 1201 batches 	Training Loss: 0.143877
Trained 1251 batches 	Training Loss: 0.151114
Trained 1301 batches 	Training Loss: 0.160593
Trained 1351 batches 	Training Loss: 0.174723
Trained 1401 batches 	Training Loss: 0.158732
Trained 1451 batches 	Training Loss: 0.144116
Trained 1501 batches 	Training Loss: 0.131054
Trained 1551 batches 	Training Loss: 0.144365
Trained 1601 batches 	Training Loss: 0.143640
Trained 1651 batches 	Training Loss: 0.107408
Trained 1701 batches 	Training Loss: 0.163102
Trained 1751 batches 	Training Loss: 0.131521
Trained 1801 batches 	Training Loss: 0.145422
Trained 1851 batches 	Training Loss: 0.198637
Trained 1901 batches 	Training Loss: 0.154986
Trained 1951 batches 	Training Loss: 0.200408
Trained 2001 batches 	Training Loss: 0.112433
Trained 2051 batches 	Training Loss: 0.122181
Trained 2101 batches 	Training Loss: 0.135128
Trained 2151 batches 	Training Loss: 0.087785
Trained 2201 batches 	Training Loss: 0.182537
Trained 2251 batches 	Training Loss: 0.131235
Trained 2301 batches 	Training Loss: 0.238601
Trained 2351 batches 	Training Loss: 0.155973
Trained 2401 batches 	Training Loss: 0.149207
Trained 2451 batches 	Training Loss: 0.156771
Trained 2501 batches 	Training Loss: 0.214341
Trained 2551 batches 	Training Loss: 0.153726
Trained 2601 batches 	Training Loss: 0.194836
Trained 2651 batches 	Training Loss: 0.182489
Trained 2701 batches 	Training Loss: 0.119789
Trained 2751 batches 	Training Loss: 0.175639
Trained 2801 batches 	Training Loss: 0.133236
Trained 2851 batches 	Training Loss: 0.143525
Trained 2901 batches 	Training Loss: 0.173679
Trained 2951 batches 	Training Loss: 0.138551
Trained 3001 batches 	Training Loss: 0.304889
Trained 3051 batches 	Training Loss: 0.177940
Trained 3101 batches 	Training Loss: 0.153714
Trained 3151 batches 	Training Loss: 0.155028
Trained 3201 batches 	Training Loss: 0.156623
Trained 3251 batches 	Training Loss: 0.088700
Trained 3301 batches 	Training Loss: 0.140289
Trained 3351 batches 	Training Loss: 0.132012
Trained 3401 batches 	Training Loss: 0.192236
Trained 3451 batches 	Training Loss: 0.190957
Trained 3501 batches 	Training Loss: 0.154191
Trained 3551 batches 	Training Loss: 0.157886
Trained 3601 batches 	Training Loss: 0.139077
Trained 3651 batches 	Training Loss: 0.075551
Trained 3701 batches 	Training Loss: 0.203873
Trained 3751 batches 	Training Loss: 0.215574
Trained 3801 batches 	Training Loss: 0.145946
Trained 3851 batches 	Training Loss: 0.118603
Trained 3901 batches 	Training Loss: 0.152184
Trained 3951 batches 	Training Loss: 0.088472
Trained 4001 batches 	Training Loss: 0.202829
Trained 4051 batches 	Training Loss: 0.148853
Trained 4101 batches 	Training Loss: 0.118074
Trained 4151 batches 	Training Loss: 0.185316
Trained 4201 batches 	Training Loss: 0.138250
Trained 4251 batches 	Training Loss: 0.117391
Trained 4301 batches 	Training Loss: 0.086861
Trained 4351 batches 	Training Loss: 0.164847
Trained 4401 batches 	Training Loss: 0.155082
Trained 4451 batches 	Training Loss: 0.144289
Trained 4501 batches 	Training Loss: 0.104455
Trained 4551 batches 	Training Loss: 0.259194
Trained 4601 batches 	Training Loss: 0.244846
Trained 4651 batches 	Training Loss: 0.123886
Trained 4701 batches 	Training Loss: 0.232843
Trained 4751 batches 	Training Loss: 0.224546
Trained 4801 batches 	Training Loss: 0.126366
Trained 4851 batches 	Training Loss: 0.136260
Trained 4901 batches 	Training Loss: 0.135439
Epoch: 3 	Training Loss: 0.158737
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 701
Evaluating time lapse: 1.0 min
The average AUROC is 0.772
The AUROC of Atelectasis is 0.7622311566248836
The AUROC of Cardiomegaly is 0.8699346987247536
The AUROC of Effusion is 0.8645438760616813
The AUROC of Infiltration is 0.6755282580430995
The AUROC of Mass is 0.7777172862296001
The AUROC of Nodule is 0.682339067138384
The AUROC of Pneumonia is 0.703025887193554
The AUROC of Pneumothorax is 0.8141286619190783
The AUROC of Consolidation is 0.7411958487778161
The AUROC of Edema is 0.886963682712044
The AUROC of Emphysema is 0.7800402489724293
The AUROC of Fibrosis is 0.7211401055812195
The AUROC of Pleural_Thickening is 0.7515356104547704
The AUROC of Hernia is 0.7718695098005444
Started epoch 4
Trained 1 batches 	Training Loss: 0.195786
Trained 51 batches 	Training Loss: 0.135798
Trained 101 batches 	Training Loss: 0.150394
Trained 151 batches 	Training Loss: 0.120453
Trained 201 batches 	Training Loss: 0.140953
Trained 251 batches 	Training Loss: 0.172642
Trained 301 batches 	Training Loss: 0.157270
Trained 351 batches 	Training Loss: 0.216701
Trained 401 batches 	Training Loss: 0.170508
Trained 451 batches 	Training Loss: 0.184038
Trained 501 batches 	Training Loss: 0.192683
Trained 551 batches 	Training Loss: 0.138366
Trained 601 batches 	Training Loss: 0.162836
Trained 651 batches 	Training Loss: 0.188481
Trained 701 batches 	Training Loss: 0.124549
Trained 751 batches 	Training Loss: 0.127246
Trained 801 batches 	Training Loss: 0.130310
Trained 851 batches 	Training Loss: 0.171404
Trained 901 batches 	Training Loss: 0.166088
Trained 951 batches 	Training Loss: 0.216848
Trained 1001 batches 	Training Loss: 0.230069
Trained 1051 batches 	Training Loss: 0.114889
Trained 1101 batches 	Training Loss: 0.100250
Trained 1151 batches 	Training Loss: 0.060342
Trained 1201 batches 	Training Loss: 0.233776
Trained 1251 batches 	Training Loss: 0.132249
Trained 1301 batches 	Training Loss: 0.190293
Trained 1351 batches 	Training Loss: 0.189486
Trained 1401 batches 	Training Loss: 0.182311
Trained 1451 batches 	Training Loss: 0.090571
Trained 1501 batches 	Training Loss: 0.117593
Trained 1551 batches 	Training Loss: 0.198371
Trained 1601 batches 	Training Loss: 0.167162
Trained 1651 batches 	Training Loss: 0.140622
Trained 1701 batches 	Training Loss: 0.183761
Trained 1751 batches 	Training Loss: 0.083852
Trained 1801 batches 	Training Loss: 0.165687
Trained 1851 batches 	Training Loss: 0.225860
Trained 1901 batches 	Training Loss: 0.128360
Trained 1951 batches 	Training Loss: 0.227732
Trained 2001 batches 	Training Loss: 0.158462
Trained 2051 batches 	Training Loss: 0.147276
Trained 2101 batches 	Training Loss: 0.144045
Trained 2151 batches 	Training Loss: 0.156854
