Started training, total epoch : 10
Training data size: 4906
Started epoch 1
Trained 1 batches 	Training Loss: 0.771083
Trained 51 batches 	Training Loss: 0.180500
Trained 101 batches 	Training Loss: 0.120580
Trained 151 batches 	Training Loss: 0.188373
Trained 201 batches 	Training Loss: 0.127535
Trained 251 batches 	Training Loss: 0.172133
Trained 301 batches 	Training Loss: 0.270540
Trained 351 batches 	Training Loss: 0.166316
Trained 401 batches 	Training Loss: 0.246223
Trained 451 batches 	Training Loss: 0.197343
Trained 501 batches 	Training Loss: 0.234440
Trained 551 batches 	Training Loss: 0.145054
Trained 601 batches 	Training Loss: 0.138926
Trained 651 batches 	Training Loss: 0.145901
Trained 701 batches 	Training Loss: 0.154163
Trained 751 batches 	Training Loss: 0.119416
Trained 801 batches 	Training Loss: 0.165034
Trained 851 batches 	Training Loss: 0.188152
Trained 901 batches 	Training Loss: 0.308658
Trained 951 batches 	Training Loss: 0.165212
Trained 1001 batches 	Training Loss: 0.147222
Trained 1051 batches 	Training Loss: 0.186418
Trained 1101 batches 	Training Loss: 0.172828
Trained 1151 batches 	Training Loss: 0.180021
Trained 1201 batches 	Training Loss: 0.158780
Trained 1251 batches 	Training Loss: 0.123586
Trained 1301 batches 	Training Loss: 0.249196
Trained 1351 batches 	Training Loss: 0.114783
Trained 1401 batches 	Training Loss: 0.111626
Trained 1451 batches 	Training Loss: 0.195599
Trained 1501 batches 	Training Loss: 0.231493
Trained 1551 batches 	Training Loss: 0.228542
Trained 1601 batches 	Training Loss: 0.217953
Trained 1651 batches 	Training Loss: 0.172516
Trained 1701 batches 	Training Loss: 0.120337
Trained 1751 batches 	Training Loss: 0.135229
Trained 1801 batches 	Training Loss: 0.187229
Trained 1851 batches 	Training Loss: 0.174547
Trained 1901 batches 	Training Loss: 0.147945
Trained 1951 batches 	Training Loss: 0.181810
Trained 2001 batches 	Training Loss: 0.116481
Trained 2051 batches 	Training Loss: 0.252385
Trained 2101 batches 	Training Loss: 0.236911
Trained 2151 batches 	Training Loss: 0.197137
Trained 2201 batches 	Training Loss: 0.149022
Trained 2251 batches 	Training Loss: 0.147520
Trained 2301 batches 	Training Loss: 0.134492
Trained 2351 batches 	Training Loss: 0.109573
Trained 2401 batches 	Training Loss: 0.272688
Trained 2451 batches 	Training Loss: 0.302717
Trained 2501 batches 	Training Loss: 0.147809
Trained 2551 batches 	Training Loss: 0.154552
Trained 2601 batches 	Training Loss: 0.113863
Trained 2651 batches 	Training Loss: 0.185055
Trained 2701 batches 	Training Loss: 0.172127
Trained 2751 batches 	Training Loss: 0.141117
Trained 2801 batches 	Training Loss: 0.219673
Trained 2851 batches 	Training Loss: 0.190438
Trained 2901 batches 	Training Loss: 0.225970
Trained 2951 batches 	Training Loss: 0.117310
Trained 3001 batches 	Training Loss: 0.176934
Trained 3051 batches 	Training Loss: 0.112873
Trained 3101 batches 	Training Loss: 0.162592
Trained 3151 batches 	Training Loss: 0.134869
Trained 3201 batches 	Training Loss: 0.147863
Trained 3251 batches 	Training Loss: 0.171056
Trained 3301 batches 	Training Loss: 0.167026
Trained 3351 batches 	Training Loss: 0.183915
Trained 3401 batches 	Training Loss: 0.127445
Trained 3451 batches 	Training Loss: 0.137281
Trained 3501 batches 	Training Loss: 0.226563
