Started training, total epoch : 20
Training data size: 2453
Started epoch 1
Trained 1 batches 	Training Loss: 0.763216
Trained 51 batches 	Training Loss: 0.196178
Trained 101 batches 	Training Loss: 0.206836
Trained 151 batches 	Training Loss: 0.178950
Trained 201 batches 	Training Loss: 0.158831
Trained 251 batches 	Training Loss: 0.167766
Trained 301 batches 	Training Loss: 0.142558
Trained 351 batches 	Training Loss: 0.190925
Trained 401 batches 	Training Loss: 0.187239
Trained 451 batches 	Training Loss: 0.141332
Trained 501 batches 	Training Loss: 0.122070
Trained 551 batches 	Training Loss: 0.197765
Trained 601 batches 	Training Loss: 0.226403
Trained 651 batches 	Training Loss: 0.172232
Trained 701 batches 	Training Loss: 0.171351
Trained 751 batches 	Training Loss: 0.197828
Trained 801 batches 	Training Loss: 0.151307
Trained 851 batches 	Training Loss: 0.213706
Trained 901 batches 	Training Loss: 0.152926
Trained 951 batches 	Training Loss: 0.182680
Trained 1001 batches 	Training Loss: 0.182602
Trained 1051 batches 	Training Loss: 0.162223
Trained 1101 batches 	Training Loss: 0.201249
Trained 1151 batches 	Training Loss: 0.187014
Trained 1201 batches 	Training Loss: 0.145243
Trained 1251 batches 	Training Loss: 0.168479
Trained 1301 batches 	Training Loss: 0.156317
Trained 1351 batches 	Training Loss: 0.145115
Trained 1401 batches 	Training Loss: 0.178426
Trained 1451 batches 	Training Loss: 0.107086
Trained 1501 batches 	Training Loss: 0.201779
Trained 1551 batches 	Training Loss: 0.139602
Trained 1601 batches 	Training Loss: 0.178043
Trained 1651 batches 	Training Loss: 0.167342
Trained 1701 batches 	Training Loss: 0.139805
Trained 1751 batches 	Training Loss: 0.181463
Trained 1801 batches 	Training Loss: 0.165660
Trained 1851 batches 	Training Loss: 0.203129
Trained 1901 batches 	Training Loss: 0.159084
Trained 1951 batches 	Training Loss: 0.209105
Trained 2001 batches 	Training Loss: 0.147030
Trained 2051 batches 	Training Loss: 0.153910
Trained 2101 batches 	Training Loss: 0.160183
Trained 2151 batches 	Training Loss: 0.188715
Trained 2201 batches 	Training Loss: 0.210772
Trained 2251 batches 	Training Loss: 0.151383
Trained 2301 batches 	Training Loss: 0.116533
Trained 2351 batches 	Training Loss: 0.124542
Trained 2401 batches 	Training Loss: 0.171510
Trained 2451 batches 	Training Loss: 0.191074
Epoch: 1 	Training Loss: 0.168120
Started epoch 2
Trained 1 batches 	Training Loss: 0.164425
Trained 51 batches 	Training Loss: 0.170058
Trained 101 batches 	Training Loss: 0.149840
Trained 151 batches 	Training Loss: 0.146009
Trained 201 batches 	Training Loss: 0.110833
Trained 251 batches 	Training Loss: 0.151680
Trained 301 batches 	Training Loss: 0.225620
Trained 351 batches 	Training Loss: 0.148703
Trained 401 batches 	Training Loss: 0.135547
Trained 451 batches 	Training Loss: 0.182175
Trained 501 batches 	Training Loss: 0.123101
Trained 551 batches 	Training Loss: 0.225887
Trained 601 batches 	Training Loss: 0.170214
Trained 651 batches 	Training Loss: 0.112231
Trained 701 batches 	Training Loss: 0.155008
Trained 751 batches 	Training Loss: 0.137478
Trained 801 batches 	Training Loss: 0.181461
Trained 851 batches 	Training Loss: 0.142071
Trained 901 batches 	Training Loss: 0.170130
Trained 951 batches 	Training Loss: 0.183449
Trained 1001 batches 	Training Loss: 0.137631
Trained 1051 batches 	Training Loss: 0.213292
Trained 1101 batches 	Training Loss: 0.097064
Trained 1151 batches 	Training Loss: 0.141647
Trained 1201 batches 	Training Loss: 0.249240
Trained 1251 batches 	Training Loss: 0.127467
Trained 1301 batches 	Training Loss: 0.108729
Trained 1351 batches 	Training Loss: 0.153547
Trained 1401 batches 	Training Loss: 0.145709
Trained 1451 batches 	Training Loss: 0.164102
Trained 1501 batches 	Training Loss: 0.145217
Trained 1551 batches 	Training Loss: 0.126243
Trained 1601 batches 	Training Loss: 0.176557
Trained 1651 batches 	Training Loss: 0.202967
Trained 1701 batches 	Training Loss: 0.146061
Trained 1751 batches 	Training Loss: 0.130658
Trained 1801 batches 	Training Loss: 0.186130
Trained 1851 batches 	Training Loss: 0.121773
Trained 1901 batches 	Training Loss: 0.175495
Trained 1951 batches 	Training Loss: 0.125076
Trained 2001 batches 	Training Loss: 0.171279
Trained 2051 batches 	Training Loss: 0.171894
Trained 2101 batches 	Training Loss: 0.181535
Trained 2151 batches 	Training Loss: 0.156347
Trained 2201 batches 	Training Loss: 0.102256
Trained 2251 batches 	Training Loss: 0.139405
Trained 2301 batches 	Training Loss: 0.183951
Trained 2351 batches 	Training Loss: 0.184732
Trained 2401 batches 	Training Loss: 0.159551
Trained 2451 batches 	Training Loss: 0.133920
Epoch: 2 	Training Loss: 0.158991
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 351
Evaluating time lapse: 0.0 min
The average AUROC is 0.789
The AUROC of Atelectasis is 0.7766115252670176
The AUROC of Cardiomegaly is 0.8679551538475546
The AUROC of Effusion is 0.8647303393889548
The AUROC of Infiltration is 0.701068356138238
The AUROC of Mass is 0.7999864848805426
The AUROC of Nodule is 0.7028646297563792
The AUROC of Pneumonia is 0.7548896219742331
The AUROC of Pneumothorax is 0.8187876129851469
The AUROC of Consolidation is 0.7797816280229682
The AUROC of Edema is 0.8668061655755366
The AUROC of Emphysema is 0.8187691498815628
The AUROC of Fibrosis is 0.7596393509562565
The AUROC of Pleural_Thickening is 0.737962132504317
The AUROC of Hernia is 0.7978052091178711
Started epoch 3
Trained 1 batches 	Training Loss: 0.165750
Trained 51 batches 	Training Loss: 0.133945
Trained 101 batches 	Training Loss: 0.133280
Trained 151 batches 	Training Loss: 0.130585
Trained 201 batches 	Training Loss: 0.181905
Trained 251 batches 	Training Loss: 0.212737
Trained 301 batches 	Training Loss: 0.187971
Trained 351 batches 	Training Loss: 0.129940
Trained 401 batches 	Training Loss: 0.177126
Trained 451 batches 	Training Loss: 0.184900
Trained 501 batches 	Training Loss: 0.099917
Trained 551 batches 	Training Loss: 0.154070
Trained 601 batches 	Training Loss: 0.136821
Trained 651 batches 	Training Loss: 0.153008
Trained 701 batches 	Training Loss: 0.138034
Trained 751 batches 	Training Loss: 0.140108
Trained 801 batches 	Training Loss: 0.146058
Trained 851 batches 	Training Loss: 0.100768
Trained 901 batches 	Training Loss: 0.182325
Trained 951 batches 	Training Loss: 0.193997
Trained 1001 batches 	Training Loss: 0.177363
Trained 1051 batches 	Training Loss: 0.127987
Trained 1101 batches 	Training Loss: 0.150524
Trained 1151 batches 	Training Loss: 0.161437
Trained 1201 batches 	Training Loss: 0.138058
Trained 1251 batches 	Training Loss: 0.085006
Trained 1301 batches 	Training Loss: 0.129327
Trained 1351 batches 	Training Loss: 0.137076
Trained 1401 batches 	Training Loss: 0.210087
Trained 1451 batches 	Training Loss: 0.129860
Trained 1501 batches 	Training Loss: 0.157942
Trained 1551 batches 	Training Loss: 0.177660
Trained 1601 batches 	Training Loss: 0.212813
Trained 1651 batches 	Training Loss: 0.180503
Trained 1701 batches 	Training Loss: 0.229349
Trained 1751 batches 	Training Loss: 0.188630
Trained 1801 batches 	Training Loss: 0.129736
Trained 1851 batches 	Training Loss: 0.160726
Trained 1901 batches 	Training Loss: 0.213118
Trained 1951 batches 	Training Loss: 0.141527
Trained 2001 batches 	Training Loss: 0.125896
Trained 2051 batches 	Training Loss: 0.137318
Trained 2101 batches 	Training Loss: 0.135792
Trained 2151 batches 	Training Loss: 0.151139
Trained 2201 batches 	Training Loss: 0.125293
Trained 2251 batches 	Training Loss: 0.147669
Trained 2301 batches 	Training Loss: 0.141454
Trained 2351 batches 	Training Loss: 0.117307
Trained 2401 batches 	Training Loss: 0.171405
Trained 2451 batches 	Training Loss: 0.119121
Epoch: 3 	Training Loss: 0.154859
Started epoch 4
Trained 1 batches 	Training Loss: 0.211508
Trained 51 batches 	Training Loss: 0.172930
Trained 101 batches 	Training Loss: 0.118587
Trained 151 batches 	Training Loss: 0.146846
Trained 201 batches 	Training Loss: 0.173688
Trained 251 batches 	Training Loss: 0.199579
Trained 301 batches 	Training Loss: 0.167303
Trained 351 batches 	Training Loss: 0.149451
Trained 401 batches 	Training Loss: 0.141451
Trained 451 batches 	Training Loss: 0.128932
Trained 501 batches 	Training Loss: 0.190846
Trained 551 batches 	Training Loss: 0.137327
Trained 601 batches 	Training Loss: 0.108582
Trained 651 batches 	Training Loss: 0.135058
Trained 701 batches 	Training Loss: 0.189104
Trained 751 batches 	Training Loss: 0.156674
Trained 801 batches 	Training Loss: 0.204435
Trained 851 batches 	Training Loss: 0.155162
Trained 901 batches 	Training Loss: 0.215674
Trained 951 batches 	Training Loss: 0.157202
Trained 1001 batches 	Training Loss: 0.156772
Trained 1051 batches 	Training Loss: 0.146248
Trained 1101 batches 	Training Loss: 0.153448
Trained 1151 batches 	Training Loss: 0.238045
Trained 1201 batches 	Training Loss: 0.172805
Trained 1251 batches 	Training Loss: 0.190034
Trained 1301 batches 	Training Loss: 0.170755
Trained 1351 batches 	Training Loss: 0.143234
Trained 1401 batches 	Training Loss: 0.189286
Trained 1451 batches 	Training Loss: 0.146898
Trained 1501 batches 	Training Loss: 0.148268
Trained 1551 batches 	Training Loss: 0.153030
Trained 1601 batches 	Training Loss: 0.178807
Trained 1651 batches 	Training Loss: 0.147594
Trained 1701 batches 	Training Loss: 0.132762
Trained 1751 batches 	Training Loss: 0.155757
Trained 1801 batches 	Training Loss: 0.119449
Trained 1851 batches 	Training Loss: 0.135383
Trained 1901 batches 	Training Loss: 0.126366
Trained 1951 batches 	Training Loss: 0.153907
Trained 2001 batches 	Training Loss: 0.182089
Trained 2051 batches 	Training Loss: 0.157624
Trained 2101 batches 	Training Loss: 0.188584
Trained 2151 batches 	Training Loss: 0.144166
Trained 2201 batches 	Training Loss: 0.175059
Trained 2251 batches 	Training Loss: 0.175173
Trained 2301 batches 	Training Loss: 0.180627
Trained 2351 batches 	Training Loss: 0.157692
Trained 2401 batches 	Training Loss: 0.136465
Trained 2451 batches 	Training Loss: 0.148474
Epoch: 4 	Training Loss: 0.152050
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 351
Evaluating time lapse: 0.0 min
The average AUROC is 0.808
The AUROC of Atelectasis is 0.7900922406270143
The AUROC of Cardiomegaly is 0.8984776103095161
The AUROC of Effusion is 0.8711780945354266
The AUROC of Infiltration is 0.7131827872488806
The AUROC of Mass is 0.8213082169596108
The AUROC of Nodule is 0.7266126151108138
The AUROC of Pneumonia is 0.7492948348982987
The AUROC of Pneumothorax is 0.8319313985932201
The AUROC of Consolidation is 0.7905773720459021
The AUROC of Edema is 0.8807250427537161
The AUROC of Emphysema is 0.8667737769339839
The AUROC of Fibrosis is 0.7601111476334428
The AUROC of Pleural_Thickening is 0.7477904775887879
The AUROC of Hernia is 0.8667934692418653
Started epoch 5
Trained 1 batches 	Training Loss: 0.152367
Trained 51 batches 	Training Loss: 0.147137
Trained 101 batches 	Training Loss: 0.175855
Trained 151 batches 	Training Loss: 0.137440
Trained 201 batches 	Training Loss: 0.156869
Trained 251 batches 	Training Loss: 0.133060
Trained 301 batches 	Training Loss: 0.154147
Trained 351 batches 	Training Loss: 0.153429
Trained 401 batches 	Training Loss: 0.158723
Trained 451 batches 	Training Loss: 0.146211
Trained 501 batches 	Training Loss: 0.124103
Trained 551 batches 	Training Loss: 0.155386
Trained 601 batches 	Training Loss: 0.148382
Trained 651 batches 	Training Loss: 0.136880
Trained 701 batches 	Training Loss: 0.161252
Trained 751 batches 	Training Loss: 0.223502
Trained 801 batches 	Training Loss: 0.131133
Trained 851 batches 	Training Loss: 0.109155
Trained 901 batches 	Training Loss: 0.152295
Trained 951 batches 	Training Loss: 0.171643
Trained 1001 batches 	Training Loss: 0.127926
Trained 1051 batches 	Training Loss: 0.187411
Trained 1101 batches 	Training Loss: 0.138175
Trained 1151 batches 	Training Loss: 0.122613
Trained 1201 batches 	Training Loss: 0.140554
Trained 1251 batches 	Training Loss: 0.179150
Trained 1301 batches 	Training Loss: 0.131880
Trained 1351 batches 	Training Loss: 0.151203
Trained 1401 batches 	Training Loss: 0.136526
Trained 1451 batches 	Training Loss: 0.147063
Trained 1501 batches 	Training Loss: 0.118094
Trained 1551 batches 	Training Loss: 0.177602
Trained 1601 batches 	Training Loss: 0.142430
Trained 1651 batches 	Training Loss: 0.118227
Trained 1701 batches 	Training Loss: 0.192913
Trained 1751 batches 	Training Loss: 0.187974
Trained 1801 batches 	Training Loss: 0.184826
Trained 1851 batches 	Training Loss: 0.117883
Trained 1901 batches 	Training Loss: 0.156983
Trained 1951 batches 	Training Loss: 0.085795
Trained 2001 batches 	Training Loss: 0.152371
Trained 2051 batches 	Training Loss: 0.130797
Trained 2101 batches 	Training Loss: 0.109002
Trained 2151 batches 	Training Loss: 0.158017
Trained 2201 batches 	Training Loss: 0.145704
Trained 2251 batches 	Training Loss: 0.139530
Trained 2301 batches 	Training Loss: 0.191814
Trained 2351 batches 	Training Loss: 0.221626
Trained 2401 batches 	Training Loss: 0.139376
Trained 2451 batches 	Training Loss: 0.119141
Epoch: 5 	Training Loss: 0.149283
Started epoch 6
Trained 1 batches 	Training Loss: 0.153762
Trained 51 batches 	Training Loss: 0.200555
Trained 101 batches 	Training Loss: 0.154919
Trained 151 batches 	Training Loss: 0.143199
Trained 201 batches 	Training Loss: 0.199532
Trained 251 batches 	Training Loss: 0.180724
Trained 301 batches 	Training Loss: 0.139791
Trained 351 batches 	Training Loss: 0.099893
Trained 401 batches 	Training Loss: 0.114775
Trained 451 batches 	Training Loss: 0.172029
Trained 501 batches 	Training Loss: 0.131262
Trained 551 batches 	Training Loss: 0.124190
Trained 601 batches 	Training Loss: 0.165182
Trained 651 batches 	Training Loss: 0.168291
Trained 701 batches 	Training Loss: 0.192654
Trained 751 batches 	Training Loss: 0.147916
Trained 801 batches 	Training Loss: 0.099541
Trained 851 batches 	Training Loss: 0.151410
Trained 901 batches 	Training Loss: 0.161979
Trained 951 batches 	Training Loss: 0.102048
Trained 1001 batches 	Training Loss: 0.129714
Trained 1051 batches 	Training Loss: 0.142669
Trained 1101 batches 	Training Loss: 0.116812
Trained 1151 batches 	Training Loss: 0.151874
Trained 1201 batches 	Training Loss: 0.124911
Trained 1251 batches 	Training Loss: 0.122438
Trained 1301 batches 	Training Loss: 0.166948
Trained 1351 batches 	Training Loss: 0.151219
Trained 1401 batches 	Training Loss: 0.128827
Trained 1451 batches 	Training Loss: 0.146069
Trained 1501 batches 	Training Loss: 0.176132
Trained 1551 batches 	Training Loss: 0.148550
Trained 1601 batches 	Training Loss: 0.150126
Trained 1651 batches 	Training Loss: 0.159858
Trained 1701 batches 	Training Loss: 0.155529
Trained 1751 batches 	Training Loss: 0.101262
Trained 1801 batches 	Training Loss: 0.169890
Trained 1851 batches 	Training Loss: 0.113177
Trained 1901 batches 	Training Loss: 0.142608
Trained 1951 batches 	Training Loss: 0.137463
Trained 2001 batches 	Training Loss: 0.127951
Trained 2051 batches 	Training Loss: 0.144514
Trained 2101 batches 	Training Loss: 0.120518
Trained 2151 batches 	Training Loss: 0.134994
Trained 2201 batches 	Training Loss: 0.142412
Trained 2251 batches 	Training Loss: 0.188499
Trained 2301 batches 	Training Loss: 0.141572
Trained 2351 batches 	Training Loss: 0.133722
Trained 2401 batches 	Training Loss: 0.163084
Trained 2451 batches 	Training Loss: 0.125597
Epoch: 6 	Training Loss: 0.146863
AUROCs on validation dataset:
Evaluating test data...	 test_loader: 351
Evaluating time lapse: 0.0 min
The average AUROC is 0.819
The AUROC of Atelectasis is 0.7917754950269046
The AUROC of Cardiomegaly is 0.8978960914405035
The AUROC of Effusion is 0.8756425530370836
The AUROC of Infiltration is 0.709502436109466
The AUROC of Mass is 0.8337873326047598
The AUROC of Nodule is 0.7417814565309729
The AUROC of Pneumonia is 0.7626850968904009
The AUROC of Pneumothorax is 0.8489846791305364
The AUROC of Consolidation is 0.7871953909790418
The AUROC of Edema is 0.8880282061520149
The AUROC of Emphysema is 0.8807714439605402
The AUROC of Fibrosis is 0.7707451333993129
The AUROC of Pleural_Thickening is 0.7553436024125739
The AUROC of Hernia is 0.9271948972601283
Started epoch 7
Trained 1 batches 	Training Loss: 0.117528
Trained 51 batches 	Training Loss: 0.140027
Trained 101 batches 	Training Loss: 0.164967
Trained 151 batches 	Training Loss: 0.119584
Trained 201 batches 	Training Loss: 0.175532
Trained 251 batches 	Training Loss: 0.148400
Trained 301 batches 	Training Loss: 0.158360
Trained 351 batches 	Training Loss: 0.172272
Trained 401 batches 	Training Loss: 0.143190
Trained 451 batches 	Training Loss: 0.126979
Trained 501 batches 	Training Loss: 0.106163
Trained 551 batches 	Training Loss: 0.130550
Trained 601 batches 	Training Loss: 0.141734
Trained 651 batches 	Training Loss: 0.194072
Trained 701 batches 	Training Loss: 0.203468
Trained 751 batches 	Training Loss: 0.128698
Trained 801 batches 	Training Loss: 0.224885
Trained 851 batches 	Training Loss: 0.141583
Trained 901 batches 	Training Loss: 0.173513
Trained 951 batches 	Training Loss: 0.147432
Trained 1001 batches 	Training Loss: 0.120331
Trained 1051 batches 	Training Loss: 0.141606
Trained 1101 batches 	Training Loss: 0.108632
Trained 1151 batches 	Training Loss: 0.140451
Trained 1201 batches 	Training Loss: 0.141918
Trained 1251 batches 	Training Loss: 0.112907
Trained 1301 batches 	Training Loss: 0.229506
Trained 1351 batches 	Training Loss: 0.102224
Trained 1401 batches 	Training Loss: 0.176271
Trained 1451 batches 	Training Loss: 0.205430
Trained 1501 batches 	Training Loss: 0.097671
Trained 1551 batches 	Training Loss: 0.126356
Trained 1601 batches 	Training Loss: 0.146467
Trained 1651 batches 	Training Loss: 0.129275
Trained 1701 batches 	Training Loss: 0.154324
Trained 1751 batches 	Training Loss: 0.171166
Trained 1801 batches 	Training Loss: 0.177938
Trained 1851 batches 	Training Loss: 0.137038
Trained 1901 batches 	Training Loss: 0.181115
Trained 1951 batches 	Training Loss: 0.139559
Trained 2001 batches 	Training Loss: 0.115855
Trained 2051 batches 	Training Loss: 0.115838
Trained 2101 batches 	Training Loss: 0.148591
Trained 2151 batches 	Training Loss: 0.134599
Trained 2201 batches 	Training Loss: 0.155301
Trained 2251 batches 	Training Loss: 0.127820
Trained 2301 batches 	Training Loss: 0.161353
Trained 2351 batches 	Training Loss: 0.140800
Trained 2401 batches 	Training Loss: 0.128591
Trained 2451 batches 	Training Loss: 0.130060
Epoch: 7 	Training Loss: 0.144313
Started epoch 8
Trained 1 batches 	Training Loss: 0.153011
Trained 51 batches 	Training Loss: 0.147300
Trained 101 batches 	Training Loss: 0.132581
Trained 151 batches 	Training Loss: 0.138676
Trained 201 batches 	Training Loss: 0.157141
Trained 251 batches 	Training Loss: 0.141220
Trained 301 batches 	Training Loss: 0.158972
Trained 351 batches 	Training Loss: 0.180856
Trained 401 batches 	Training Loss: 0.221805
Trained 451 batches 	Training Loss: 0.122271
Trained 501 batches 	Training Loss: 0.166402
Trained 551 batches 	Training Loss: 0.106538
Trained 601 batches 	Training Loss: 0.112712
Trained 651 batches 	Training Loss: 0.167193
Trained 701 batches 	Training Loss: 0.165190
Trained 751 batches 	Training Loss: 0.122669
Trained 801 batches 	Training Loss: 0.128398
Trained 851 batches 	Training Loss: 0.133537
Trained 901 batches 	Training Loss: 0.105070
Trained 951 batches 	Training Loss: 0.164860
Trained 1001 batches 	Training Loss: 0.103764
Trained 1051 batches 	Training Loss: 0.105661
Trained 1101 batches 	Training Loss: 0.118166
Trained 1151 batches 	Training Loss: 0.156257
Trained 1201 batches 	Training Loss: 0.110864
Trained 1251 batches 	Training Loss: 0.189614
Trained 1301 batches 	Training Loss: 0.175370
Trained 1351 batches 	Training Loss: 0.184582
Trained 1401 batches 	Training Loss: 0.150269
Trained 1451 batches 	Training Loss: 0.151135
Trained 1501 batches 	Training Loss: 0.159762
Trained 1551 batches 	Training Loss: 0.127614
Trained 1601 batches 	Training Loss: 0.121686
Trained 1651 batches 	Training Loss: 0.109315
Trained 1701 batches 	Training Loss: 0.122047
Trained 1751 batches 	Training Loss: 0.135776
Trained 1801 batches 	Training Loss: 0.115510
Trained 1851 batches 	Training Loss: 0.134779
Trained 1901 batches 	Training Loss: 0.125851
Trained 1951 batches 	Training Loss: 0.130833
Trained 2001 batches 	Training Loss: 0.137873
Trained 2051 batches 	Training Loss: 0.165341
Trained 2101 batches 	Training Loss: 0.102860
Trained 2151 batches 	Training Loss: 0.123924
Trained 2201 batches 	Training Loss: 0.161657
Trained 2251 batches 	Training Loss: 0.136212
Trained 2301 batches 	Training Loss: 0.130851
Trained 2351 batches 	Training Loss: 0.130186
