Started training, total epoch : 10
Training data size: 4906
Started epoch 1
Trained 50 batches 	Training Loss: 0.103711
Trained 100 batches 	Training Loss: 0.195165
Trained 150 batches 	Training Loss: 0.271419
Trained 200 batches 	Training Loss: 0.123045
Trained 250 batches 	Training Loss: 0.227768
Trained 300 batches 	Training Loss: 0.202499
Trained 350 batches 	Training Loss: 0.286259
Trained 400 batches 	Training Loss: 0.122552
Trained 450 batches 	Training Loss: 0.156001
Trained 500 batches 	Training Loss: 0.147392
Trained 550 batches 	Training Loss: 0.169983
Trained 600 batches 	Training Loss: 0.152146
Trained 650 batches 	Training Loss: 0.164434
Trained 700 batches 	Training Loss: 0.128404
Trained 750 batches 	Training Loss: 0.159096
Trained 800 batches 	Training Loss: 0.191747
Trained 850 batches 	Training Loss: 0.159457
Trained 900 batches 	Training Loss: 0.159168
Trained 950 batches 	Training Loss: 0.143862
Trained 1000 batches 	Training Loss: 0.179936
Trained 1050 batches 	Training Loss: 0.136864
Trained 1100 batches 	Training Loss: 0.111161
Trained 1150 batches 	Training Loss: 0.111974
Trained 1200 batches 	Training Loss: 0.113393
Trained 1250 batches 	Training Loss: 0.118035
Trained 1300 batches 	Training Loss: 0.186843
Trained 1350 batches 	Training Loss: 0.253444
Trained 1400 batches 	Training Loss: 0.165880
Trained 1450 batches 	Training Loss: 0.138622
Trained 1500 batches 	Training Loss: 0.172737
Trained 1550 batches 	Training Loss: 0.159221
Trained 1600 batches 	Training Loss: 0.248082
Trained 1650 batches 	Training Loss: 0.131910
Trained 1700 batches 	Training Loss: 0.205847
Trained 1750 batches 	Training Loss: 0.194406
Trained 1800 batches 	Training Loss: 0.176223
Trained 1850 batches 	Training Loss: 0.121229
Trained 1900 batches 	Training Loss: 0.128238
Trained 1950 batches 	Training Loss: 0.185882
Trained 2000 batches 	Training Loss: 0.169707
Trained 2050 batches 	Training Loss: 0.188131
Trained 2100 batches 	Training Loss: 0.142967
Trained 2150 batches 	Training Loss: 0.181585
Trained 2200 batches 	Training Loss: 0.270820
Trained 2250 batches 	Training Loss: 0.090731
Trained 2300 batches 	Training Loss: 0.265798
Trained 2350 batches 	Training Loss: 0.149083
Trained 2400 batches 	Training Loss: 0.183094
Trained 2450 batches 	Training Loss: 0.111545
Trained 2500 batches 	Training Loss: 0.230652
Trained 2550 batches 	Training Loss: 0.156796
Trained 2600 batches 	Training Loss: 0.201592
Trained 2650 batches 	Training Loss: 0.185685
Trained 2700 batches 	Training Loss: 0.225855
Trained 2750 batches 	Training Loss: 0.122058
Trained 2800 batches 	Training Loss: 0.153365
Trained 2850 batches 	Training Loss: 0.150041
Trained 2900 batches 	Training Loss: 0.151533
Trained 2950 batches 	Training Loss: 0.107557
Trained 3000 batches 	Training Loss: 0.248596
